gene_id,Mock_1,Mock_2,Mock_3,Mock_4,WNV_1,WNV_2,WNV_3,WNV_4
GENE001,137,92,220,205,911,974,1592,1231
GENE002,127,191,199,338,1603,1371,2189,2146
GENE003,83,161,296,254,1060,1136,1228,1796
GENE004,102,315,354,143,1199,1873,3337,1824
GENE005,115,103,196,228,993,772,2239,1280
GENE006,261,187,216,116,2805,2698,1028,1950
GENE007,365,192,246,108,197,96,241,285
GENE008,217,113,188,370,241,188,335,282
GENE009,314,153,215,151,206,367,355,214
GENE010,379,299,378,284,265,192,150,340
GENE011,332,126,104,136,158,161,296,385
GENE012,112,277,275,385,319,350,208,363
GENE013,85,138,354,216,254,137,230,302
GENE014,160,312,81,214,336,171,339,134
GENE015,400,232,339,391,181,158,271,162
GENE016,356,351,80,386,245,330,89,137
GENE017,265,237,202,109,203,370,120,123
GENE018,328,115,352,144,145,323,361,164
GENE019,215,350,390,296,188,356,182,239
GENE020,284,271,304,344,311,141,206,195
